CYP2C9 Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*13/*34,n/a,CYP2C9 Indeterminate,none
*13/*35,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*36,n/a,CYP2C9 Indeterminate,none
*13/*37,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*38,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*39,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*40,n/a,CYP2C9 Indeterminate,none
*13/*41,n/a,CYP2C9 Indeterminate,none
*13/*42,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*43,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*44,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*45,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*46,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*47,n/a,CYP2C9 Indeterminate,none
*13/*48,n/a,CYP2C9 Indeterminate,none
*13/*49,n/a,CYP2C9 Indeterminate,none
*13/*50,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*51,n/a,CYP2C9 Indeterminate,none
*13/*52,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*53,n/a,CYP2C9 Indeterminate,none
*13/*54,n/a,CYP2C9 Indeterminate,none
*13/*55,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*56,n/a,CYP2C9 Indeterminate,none
*13/*57,n/a,CYP2C9 Indeterminate,none
*13/*58,n/a,CYP2C9 Indeterminate,none
*13/*59,n/a,CYP2C9 Indeterminate,none
*13/*60,n/a,CYP2C9 Indeterminate,none
*13/*61,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*62,n/a,CYP2C9 Indeterminate,none
*13/*63,n/a,CYP2C9 Indeterminate,none
*13/*64,n/a,CYP2C9 Indeterminate,none
*13/*65,n/a,CYP2C9 Indeterminate,none
*13/*66,n/a,CYP2C9 Indeterminate,none
*13/*67,n/a,CYP2C9 Indeterminate,none
*13/*68,n/a,CYP2C9 Indeterminate,none
*13/*69,n/a,CYP2C9 Indeterminate,none
*13/*70,n/a,CYP2C9 Indeterminate,none
*13/*71,n/a,CYP2C9 Indeterminate,none
*13/*72,n/a,CYP2C9 Indeterminate,none
*13/*73,n/a,CYP2C9 Indeterminate,none
*13/*74,n/a,CYP2C9 Indeterminate,none
*13/*75,n/a,CYP2C9 Indeterminate,none
*14/*14,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*15,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*14/*16,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*17,n/a,CYP2C9 Indeterminate,none
*14/*18,n/a,CYP2C9 Indeterminate,none
*14/*19,n/a,CYP2C9 Indeterminate,none
*14/*20,n/a,CYP2C9 Indeterminate,none
*14/*21,n/a,CYP2C9 Indeterminate,none
*14/*22,n/a,CYP2C9 Indeterminate,none
*14/*23,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*24,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*14/*25,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*14/*26,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*27,n/a,CYP2C9 Indeterminate,none
*14/*28,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*29,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*30,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*31,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*32,n/a,CYP2C9 Indeterminate,none
*14/*33,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*14/*34,n/a,CYP2C9 Indeterminate,none
*14/*35,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*14/*36,n/a,CYP2C9 Indeterminate,none
*14/*37,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*38,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*39,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*14/*40,n/a,CYP2C9 Indeterminate,none
*14/*41,n/a,CYP2C9 Indeterminate,none
*14/*42,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*14/*43,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*14/*44,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*45,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*14/*46,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*47,n/a,CYP2C9 Indeterminate,none
*14/*48,n/a,CYP2C9 Indeterminate,none
*14/*49,n/a,CYP2C9 Indeterminate,none
*14/*50,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*51,n/a,CYP2C9 Indeterminate,none
*14/*52,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*14/*53,n/a,CYP2C9 Indeterminate,none
*14/*54,n/a,CYP2C9 Indeterminate,none
*14/*55,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*56,n/a,CYP2C9 Indeterminate,none
*14/*57,n/a,CYP2C9 Indeterminate,none
*14/*58,n/a,CYP2C9 Indeterminate,none
*14/*59,n/a,CYP2C9 Indeterminate,none
*14/*60,n/a,CYP2C9 Indeterminate,none
*14/*61,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*62,n/a,CYP2C9 Indeterminate,none
*14/*63,n/a,CYP2C9 Indeterminate,none
*14/*64,n/a,CYP2C9 Indeterminate,none
*14/*65,n/a,CYP2C9 Indeterminate,none
*14/*66,n/a,CYP2C9 Indeterminate,none
*14/*67,n/a,CYP2C9 Indeterminate,none
*14/*68,n/a,CYP2C9 Indeterminate,none
*14/*69,n/a,CYP2C9 Indeterminate,none
*14/*70,n/a,CYP2C9 Indeterminate,none
*14/*71,n/a,CYP2C9 Indeterminate,none
*14/*72,n/a,CYP2C9 Indeterminate,none
*14/*73,n/a,CYP2C9 Indeterminate,none
*14/*74,n/a,CYP2C9 Indeterminate,none
*14/*75,n/a,CYP2C9 Indeterminate,none
*15/*15,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*15/*16,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*15/*17,n/a,CYP2C9 Indeterminate,none
*15/*18,n/a,CYP2C9 Indeterminate,none
*15/*19,n/a,CYP2C9 Indeterminate,none
*15/*20,n/a,CYP2C9 Indeterminate,none
*15/*21,n/a,CYP2C9 Indeterminate,none
*15/*22,n/a,CYP2C9 Indeterminate,none
*15/*23,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*15/*24,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*15/*25,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*15/*26,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*15/*27,n/a,CYP2C9 Indeterminate,none
*15/*28,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*15/*29,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*15/*30,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*15/*31,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*15/*32,n/a,CYP2C9 Indeterminate,none
*15/*33,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*15/*34,n/a,CYP2C9 Indeterminate,none
*15/*35,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*15/*36,n/a,CYP2C9 Indeterminate,none
*15/*37,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*15/*38,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*15/*39,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*15/*40,n/a,CYP2C9 Indeterminate,none
*15/*41,n/a,CYP2C9 Indeterminate,none
*15/*42,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*15/*43,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*15/*44,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*15/*45,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*15/*46,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*15/*47,n/a,CYP2C9 Indeterminate,none
*15/*48,n/a,CYP2C9 Indeterminate,none
*15/*49,n/a,CYP2C9 Indeterminate,none
*15/*50,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*15/*51,n/a,CYP2C9 Indeterminate,none
*15/*52,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*15/*53,n/a,CYP2C9 Indeterminate,none
*15/*54,n/a,CYP2C9 Indeterminate,none
*15/*55,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*15/*56,n/a,CYP2C9 Indeterminate,none
*15/*57,n/a,CYP2C9 Indeterminate,none
*15/*58,n/a,CYP2C9 Indeterminate,none
*15/*59,n/a,CYP2C9 Indeterminate,none
*15/*60,n/a,CYP2C9 Indeterminate,none
*15/*61,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*15/*62,n/a,CYP2C9 Indeterminate,none
*15/*63,n/a,CYP2C9 Indeterminate,none
*15/*64,n/a,CYP2C9 Indeterminate,none
*15/*65,n/a,CYP2C9 Indeterminate,none
*15/*66,n/a,CYP2C9 Indeterminate,none
*15/*67,n/a,CYP2C9 Indeterminate,none
*15/*68,n/a,CYP2C9 Indeterminate,none
*15/*69,n/a,CYP2C9 Indeterminate,none
*15/*70,n/a,CYP2C9 Indeterminate,none
*15/*71,n/a,CYP2C9 Indeterminate,none
*15/*72,n/a,CYP2C9 Indeterminate,none
*15/*73,n/a,CYP2C9 Indeterminate,none
*15/*74,n/a,CYP2C9 Indeterminate,none
*15/*75,n/a,CYP2C9 Indeterminate,none
*16/*16,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*17,n/a,CYP2C9 Indeterminate,none
*16/*18,n/a,CYP2C9 Indeterminate,none
*16/*19,n/a,CYP2C9 Indeterminate,none
*16/*20,n/a,CYP2C9 Indeterminate,none
*16/*21,n/a,CYP2C9 Indeterminate,none
*16/*22,n/a,CYP2C9 Indeterminate,none
*16/*23,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*24,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*16/*25,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*16/*26,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*27,n/a,CYP2C9 Indeterminate,none
*16/*28,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*29,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*30,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*31,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*32,n/a,CYP2C9 Indeterminate,none
*16/*33,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*16/*34,n/a,CYP2C9 Indeterminate,none
*16/*35,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*16/*36,n/a,CYP2C9 Indeterminate,none
*16/*37,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*38,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*39,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*16/*40,n/a,CYP2C9 Indeterminate,none
*16/*41,n/a,CYP2C9 Indeterminate,none
*16/*42,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*16/*43,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*16/*44,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*45,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*16/*46,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*47,n/a,CYP2C9 Indeterminate,none
*16/*48,n/a,CYP2C9 Indeterminate,none
*16/*49,n/a,CYP2C9 Indeterminate,none
*16/*50,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*51,n/a,CYP2C9 Indeterminate,none
*16/*52,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*16/*53,n/a,CYP2C9 Indeterminate,none
*16/*54,n/a,CYP2C9 Indeterminate,none
*16/*55,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*56,n/a,CYP2C9 Indeterminate,none
*16/*57,n/a,CYP2C9 Indeterminate,none
*16/*58,n/a,CYP2C9 Indeterminate,none
*16/*59,n/a,CYP2C9 Indeterminate,none
*16/*60,n/a,CYP2C9 Indeterminate,none
*16/*61,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*62,n/a,CYP2C9 Indeterminate,none
*16/*63,n/a,CYP2C9 Indeterminate,none
*16/*64,n/a,CYP2C9 Indeterminate,none
*16/*65,n/a,CYP2C9 Indeterminate,none
*16/*66,n/a,CYP2C9 Indeterminate,none
*16/*67,n/a,CYP2C9 Indeterminate,none
*16/*68,n/a,CYP2C9 Indeterminate,none
*16/*69,n/a,CYP2C9 Indeterminate,none
*16/*70,n/a,CYP2C9 Indeterminate,none
*16/*71,n/a,CYP2C9 Indeterminate,none
*16/*72,n/a,CYP2C9 Indeterminate,none
*16/*73,n/a,CYP2C9 Indeterminate,none
*16/*74,n/a,CYP2C9 Indeterminate,none
*16/*75,n/a,CYP2C9 Indeterminate,none
*17/*17,n/a,CYP2C9 Indeterminate,none
*17/*18,n/a,CYP2C9 Indeterminate,none
*17/*19,n/a,CYP2C9 Indeterminate,none
*17/*20,n/a,CYP2C9 Indeterminate,none
*17/*21,n/a,CYP2C9 Indeterminate,none
*17/*22,n/a,CYP2C9 Indeterminate,none
*17/*23,n/a,CYP2C9 Indeterminate,none
*17/*24,n/a,CYP2C9 Indeterminate,none
*17/*25,n/a,CYP2C9 Indeterminate,none
*17/*26,n/a,CYP2C9 Indeterminate,none
*17/*27,n/a,CYP2C9 Indeterminate,none
*17/*28,n/a,CYP2C9 Indeterminate,none
*17/*29,n/a,CYP2C9 Indeterminate,none
*17/*30,n/a,CYP2C9 Indeterminate,none
*17/*31,n/a,CYP2C9 Indeterminate,none
*17/*32,n/a,CYP2C9 Indeterminate,none
*17/*33,n/a,CYP2C9 Indeterminate,none
*17/*34,n/a,CYP2C9 Indeterminate,none
*17/*35,n/a,CYP2C9 Indeterminate,none
*17/*36,n/a,CYP2C9 Indeterminate,none
*17/*37,n/a,CYP2C9 Indeterminate,none
*17/*38,n/a,CYP2C9 Indeterminate,none
*17/*39,n/a,CYP2C9 Indeterminate,none
*17/*40,n/a,CYP2C9 Indeterminate,none
*17/*41,n/a,CYP2C9 Indeterminate,none
*17/*42,n/a,CYP2C9 Indeterminate,none
*17/*43,n/a,CYP2C9 Indeterminate,none
*17/*44,n/a,CYP2C9 Indeterminate,none
*17/*45,n/a,CYP2C9 Indeterminate,none
*17/*46,n/a,CYP2C9 Indeterminate,none
*17/*47,n/a,CYP2C9 Indeterminate,none
*17/*48,n/a,CYP2C9 Indeterminate,none
*17/*49,n/a,CYP2C9 Indeterminate,none
*17/*50,n/a,CYP2C9 Indeterminate,none
*17/*51,n/a,CYP2C9 Indeterminate,none
*17/*52,n/a,CYP2C9 Indeterminate,none
*17/*53,n/a,CYP2C9 Indeterminate,none
*17/*54,n/a,CYP2C9 Indeterminate,none
*17/*55,n/a,CYP2C9 Indeterminate,none
*17/*56,n/a,CYP2C9 Indeterminate,none
*17/*57,n/a,CYP2C9 Indeterminate,none
*17/*58,n/a,CYP2C9 Indeterminate,none
*17/*59,n/a,CYP2C9 Indeterminate,none
*17/*60,n/a,CYP2C9 Indeterminate,none
*17/*61,n/a,CYP2C9 Indeterminate,none
*17/*62,n/a,CYP2C9 Indeterminate,none
*17/*63,n/a,CYP2C9 Indeterminate,none
*17/*64,n/a,CYP2C9 Indeterminate,none
*17/*65,n/a,CYP2C9 Indeterminate,none
*17/*66,n/a,CYP2C9 Indeterminate,none
*17/*67,n/a,CYP2C9 Indeterminate,none
*17/*68,n/a,CYP2C9 Indeterminate,none
*17/*69,n/a,CYP2C9 Indeterminate,none
*17/*70,n/a,CYP2C9 Indeterminate,none
*17/*71,n/a,CYP2C9 Indeterminate,none
*17/*72,n/a,CYP2C9 Indeterminate,none
*17/*73,n/a,CYP2C9 Indeterminate,none
*17/*74,n/a,CYP2C9 Indeterminate,none
*17/*75,n/a,CYP2C9 Indeterminate,none
*18/*18,n/a,CYP2C9 Indeterminate,none
*18/*19,n/a,CYP2C9 Indeterminate,none
*18/*20,n/a,CYP2C9 Indeterminate,none
*18/*21,n/a,CYP2C9 Indeterminate,none
*18/*22,n/a,CYP2C9 Indeterminate,none
*18/*23,n/a,CYP2C9 Indeterminate,none
*18/*24,n/a,CYP2C9 Indeterminate,none
*18/*25,n/a,CYP2C9 Indeterminate,none
*18/*26,n/a,CYP2C9 Indeterminate,none
*18/*27,n/a,CYP2C9 Indeterminate,none
*18/*28,n/a,CYP2C9 Indeterminate,none
*18/*29,n/a,CYP2C9 Indeterminate,none
*18/*30,n/a,CYP2C9 Indeterminate,none
*18/*31,n/a,CYP2C9 Indeterminate,none
*18/*32,n/a,CYP2C9 Indeterminate,none
*18/*33,n/a,CYP2C9 Indeterminate,none
*18/*34,n/a,CYP2C9 Indeterminate,none
*18/*35,n/a,CYP2C9 Indeterminate,none
*18/*36,n/a,CYP2C9 Indeterminate,none
*18/*37,n/a,CYP2C9 Indeterminate,none
*18/*38,n/a,CYP2C9 Indeterminate,none
*18/*39,n/a,CYP2C9 Indeterminate,none
*18/*40,n/a,CYP2C9 Indeterminate,none
*18/*41,n/a,CYP2C9 Indeterminate,none
*18/*42,n/a,CYP2C9 Indeterminate,none
*18/*43,n/a,CYP2C9 Indeterminate,none
*18/*44,n/a,CYP2C9 Indeterminate,none
*18/*45,n/a,CYP2C9 Indeterminate,none
*18/*46,n/a,CYP2C9 Indeterminate,none
*18/*47,n/a,CYP2C9 Indeterminate,none
*18/*48,n/a,CYP2C9 Indeterminate,none
*18/*49,n/a,CYP2C9 Indeterminate,none
*18/*50,n/a,CYP2C9 Indeterminate,none
*18/*51,n/a,CYP2C9 Indeterminate,none
*18/*52,n/a,CYP2C9 Indeterminate,none
*18/*53,n/a,CYP2C9 Indeterminate,none
*18/*54,n/a,CYP2C9 Indeterminate,none
*18/*55,n/a,CYP2C9 Indeterminate,none
*18/*56,n/a,CYP2C9 Indeterminate,none
*18/*57,n/a,CYP2C9 Indeterminate,none
*18/*58,n/a,CYP2C9 Indeterminate,none
*18/*59,n/a,CYP2C9 Indeterminate,none
*18/*60,n/a,CYP2C9 Indeterminate,none
*18/*61,n/a,CYP2C9 Indeterminate,none
*18/*62,n/a,CYP2C9 Indeterminate,none
*18/*63,n/a,CYP2C9 Indeterminate,none
*18/*64,n/a,CYP2C9 Indeterminate,none
*18/*65,n/a,CYP2C9 Indeterminate,none
*18/*66,n/a,CYP2C9 Indeterminate,none
*18/*67,n/a,CYP2C9 Indeterminate,none
*18/*68,n/a,CYP2C9 Indeterminate,none
*18/*69,n/a,CYP2C9 Indeterminate,none
*18/*70,n/a,CYP2C9 Indeterminate,none
*18/*71,n/a,CYP2C9 Indeterminate,none
*18/*72,n/a,CYP2C9 Indeterminate,none
*18/*73,n/a,CYP2C9 Indeterminate,none
*18/*74,n/a,CYP2C9 Indeterminate,none
*18/*75,n/a,CYP2C9 Indeterminate,none
*19/*19,n/a,CYP2C9 Indeterminate,none
*19/*20,n/a,CYP2C9 Indeterminate,none
*19/*21,n/a,CYP2C9 Indeterminate,none
*19/*22,n/a,CYP2C9 Indeterminate,none
*19/*23,n/a,CYP2C9 Indeterminate,none
*19/*24,n/a,CYP2C9 Indeterminate,none
*19/*25,n/a,CYP2C9 Indeterminate,none
*19/*26,n/a,CYP2C9 Indeterminate,none
*19/*27,n/a,CYP2C9 Indeterminate,none
*19/*28,n/a,CYP2C9 Indeterminate,none
*19/*29,n/a,CYP2C9 Indeterminate,none
*19/*30,n/a,CYP2C9 Indeterminate,none
*19/*31,n/a,CYP2C9 Indeterminate,none
*19/*32,n/a,CYP2C9 Indeterminate,none
*19/*33,n/a,CYP2C9 Indeterminate,none
*19/*34,n/a,CYP2C9 Indeterminate,none
*19/*35,n/a,CYP2C9 Indeterminate,none
*19/*36,n/a,CYP2C9 Indeterminate,none
*19/*37,n/a,CYP2C9 Indeterminate,none
*19/*38,n/a,CYP2C9 Indeterminate,none
*19/*39,n/a,CYP2C9 Indeterminate,none
*19/*40,n/a,CYP2C9 Indeterminate,none
*19/*41,n/a,CYP2C9 Indeterminate,none
*19/*42,n/a,CYP2C9 Indeterminate,none
*19/*43,n/a,CYP2C9 Indeterminate,none
*19/*44,n/a,CYP2C9 Indeterminate,none
*19/*45,n/a,CYP2C9 Indeterminate,none
*19/*46,n/a,CYP2C9 Indeterminate,none
*19/*47,n/a,CYP2C9 Indeterminate,none
*19/*48,n/a,CYP2C9 Indeterminate,none
*19/*49,n/a,CYP2C9 Indeterminate,none
*19/*50,n/a,CYP2C9 Indeterminate,none
*19/*51,n/a,CYP2C9 Indeterminate,none
*19/*52,n/a,CYP2C9 Indeterminate,none
*19/*53,n/a,CYP2C9 Indeterminate,none
*19/*54,n/a,CYP2C9 Indeterminate,none
*19/*55,n/a,CYP2C9 Indeterminate,none
*19/*56,n/a,CYP2C9 Indeterminate,none
*19/*57,n/a,CYP2C9 Indeterminate,none
*19/*58,n/a,CYP2C9 Indeterminate,none
*19/*59,n/a,CYP2C9 Indeterminate,none
*19/*60,n/a,CYP2C9 Indeterminate,none
*19/*61,n/a,CYP2C9 Indeterminate,none
*19/*62,n/a,CYP2C9 Indeterminate,none
*19/*63,n/a,CYP2C9 Indeterminate,none
*19/*64,n/a,CYP2C9 Indeterminate,none
*19/*65,n/a,CYP2C9 Indeterminate,none
*19/*66,n/a,CYP2C9 Indeterminate,none
*19/*67,n/a,CYP2C9 Indeterminate,none
*19/*68,n/a,CYP2C9 Indeterminate,none
*19/*69,n/a,CYP2C9 Indeterminate,none
*19/*70,n/a,CYP2C9 Indeterminate,none
*19/*71,n/a,CYP2C9 Indeterminate,none
*19/*72,n/a,CYP2C9 Indeterminate,none
*19/*73,n/a,CYP2C9 Indeterminate,none
*19/*74,n/a,CYP2C9 Indeterminate,none
*19/*75,n/a,CYP2C9 Indeterminate,none
*20/*20,n/a,CYP2C9 Indeterminate,none
*20/*21,n/a,CYP2C9 Indeterminate,none
*20/*22,n/a,CYP2C9 Indeterminate,none
*20/*23,n/a,CYP2C9 Indeterminate,none
*20/*24,n/a,CYP2C9 Indeterminate,none
*20/*25,n/a,CYP2C9 Indeterminate,none
*20/*26,n/a,CYP2C9 Indeterminate,none
*20/*27,n/a,CYP2C9 Indeterminate,none
*20/*28,n/a,CYP2C9 Indeterminate,none
*20/*29,n/a,CYP2C9 Indeterminate,none
*20/*30,n/a,CYP2C9 Indeterminate,none
*20/*31,n/a,CYP2C9 Indeterminate,none
*20/*32,n/a,CYP2C9 Indeterminate,none
*20/*33,n/a,CYP2C9 Indeterminate,none
*20/*34,n/a,CYP2C9 Indeterminate,none
*20/*35,n/a,CYP2C9 Indeterminate,none
*20/*36,n/a,CYP2C9 Indeterminate,none
*20/*37,n/a,CYP2C9 Indeterminate,none
*20/*38,n/a,CYP2C9 Indeterminate,none
*20/*39,n/a,CYP2C9 Indeterminate,none
*20/*40,n/a,CYP2C9 Indeterminate,none
*20/*41,n/a,CYP2C9 Indeterminate,none
*20/*42,n/a,CYP2C9 Indeterminate,none
*20/*43,n/a,CYP2C9 Indeterminate,none
*20/*44,n/a,CYP2C9 Indeterminate,none
*20/*45,n/a,CYP2C9 Indeterminate,none
*20/*46,n/a,CYP2C9 Indeterminate,none
*20/*47,n/a,CYP2C9 Indeterminate,none
*20/*48,n/a,CYP2C9 Indeterminate,none
*20/*49,n/a,CYP2C9 Indeterminate,none
*20/*50,n/a,CYP2C9 Indeterminate,none
*20/*51,n/a,CYP2C9 Indeterminate,none
*20/*52,n/a,CYP2C9 Indeterminate,none
*20/*53,n/a,CYP2C9 Indeterminate,none
*20/*54,n/a,CYP2C9 Indeterminate,none
*20/*55,n/a,CYP2C9 Indeterminate,none
*20/*56,n/a,CYP2C9 Indeterminate,none
*20/*57,n/a,CYP2C9 Indeterminate,none
*20/*58,n/a,CYP2C9 Indeterminate,none
*20/*59,n/a,CYP2C9 Indeterminate,none
*20/*60,n/a,CYP2C9 Indeterminate,none
*20/*61,n/a,CYP2C9 Indeterminate,none
*20/*62,n/a,CYP2C9 Indeterminate,none
*20/*63,n/a,CYP2C9 Indeterminate,none
*20/*64,n/a,CYP2C9 Indeterminate,none
*20/*65,n/a,CYP2C9 Indeterminate,none
*20/*66,n/a,CYP2C9 Indeterminate,none
*20/*67,n/a,CYP2C9 Indeterminate,none
*20/*68,n/a,CYP2C9 Indeterminate,none
*20/*69,n/a,CYP2C9 Indeterminate,none
*20/*70,n/a,CYP2C9 Indeterminate,none
*20/*71,n/a,CYP2C9 Indeterminate,none
*20/*72,n/a,CYP2C9 Indeterminate,none
*20/*73,n/a,CYP2C9 Indeterminate,none
*20/*74,n/a,CYP2C9 Indeterminate,none
*20/*75,n/a,CYP2C9 Indeterminate,none
*21/*21,n/a,CYP2C9 Indeterminate,none
*21/*22,n/a,CYP2C9 Indeterminate,none
*21/*23,n/a,CYP2C9 Indeterminate,none
*21/*24,n/a,CYP2C9 Indeterminate,none
*21/*25,n/a,CYP2C9 Indeterminate,none
*21/*26,n/a,CYP2C9 Indeterminate,none
*21/*27,n/a,CYP2C9 Indeterminate,none
*21/*28,n/a,CYP2C9 Indeterminate,none
*21/*29,n/a,CYP2C9 Indeterminate,none
*21/*30,n/a,CYP2C9 Indeterminate,none
*21/*31,n/a,CYP2C9 Indeterminate,none
*21/*32,n/a,CYP2C9 Indeterminate,none
*21/*33,n/a,CYP2C9 Indeterminate,none
*21/*34,n/a,CYP2C9 Indeterminate,none
*21/*35,n/a,CYP2C9 Indeterminate,none
*21/*36,n/a,CYP2C9 Indeterminate,none
*21/*37,n/a,CYP2C9 Indeterminate,none
*21/*38,n/a,CYP2C9 Indeterminate,none
*21/*39,n/a,CYP2C9 Indeterminate,none
*21/*40,n/a,CYP2C9 Indeterminate,none
*21/*41,n/a,CYP2C9 Indeterminate,none
*21/*42,n/a,CYP2C9 Indeterminate,none
*21/*43,n/a,CYP2C9 Indeterminate,none
*21/*44,n/a,CYP2C9 Indeterminate,none
*21/*45,n/a,CYP2C9 Indeterminate,none
*21/*46,n/a,CYP2C9 Indeterminate,none
*21/*47,n/a,CYP2C9 Indeterminate,none
